,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Incomr Cluster,Spending and Income Cluster
0,Male,19,15,39,1,0,0
1,Male,21,15,81,1,6,4
2,Female,20,16,6,1,0,0
3,Female,23,16,77,1,6,4
4,Female,31,17,40,1,0,0
5,Female,22,17,76,1,6,4
6,Female,35,18,6,1,0,0
7,Female,23,18,94,1,6,4
8,Male,64,19,3,1,0,0
9,Female,30,19,72,1,6,4
10,Male,67,19,14,1,0,0
11,Female,35,19,99,1,6,4
12,Female,58,20,15,1,0,0
13,Female,24,20,77,1,6,4
14,Male,37,20,13,1,0,0
15,Male,22,20,79,1,6,4
16,Female,35,21,35,1,0,0
17,Male,20,21,66,1,6,4
18,Male,52,23,29,1,0,0
19,Female,35,23,98,1,6,4
20,Male,35,24,35,1,0,0
21,Male,25,24,73,1,6,4
22,Female,46,25,5,1,0,0
23,Male,31,25,73,1,6,4
24,Female,54,28,14,1,0,0
25,Male,29,28,82,1,6,4
26,Female,45,28,32,1,0,0
27,Male,35,28,61,1,2,4
28,Female,40,29,31,1,0,0
29,Female,23,29,87,1,6,4
30,Male,60,30,4,1,0,0
31,Female,21,30,73,1,6,4
32,Male,53,33,4,1,0,0
33,Male,18,33,92,1,6,4
34,Female,49,33,14,1,0,0
35,Female,21,33,81,1,6,4
36,Female,42,34,17,1,0,0
37,Female,30,34,73,1,6,4
38,Female,36,37,26,1,0,0
39,Female,20,37,75,1,6,4
40,Female,65,38,35,1,2,0
41,Male,24,38,92,1,6,4
42,Male,48,39,36,1,2,0
43,Female,31,39,61,1,2,3
44,Female,49,39,28,1,0,0
45,Female,24,39,65,1,2,4
46,Female,50,40,55,1,2,3
47,Female,27,40,47,1,2,3
48,Female,29,40,42,1,2,3
49,Female,31,40,42,1,2,3
50,Female,49,42,52,1,2,3
51,Male,33,42,60,1,2,3
52,Female,31,43,54,1,2,3
53,Male,59,43,60,1,2,3
54,Female,50,43,45,1,2,3
55,Male,47,43,41,1,2,3
56,Female,51,44,50,1,2,3
57,Male,69,44,46,1,2,3
58,Female,27,46,51,1,2,3
59,Male,53,46,46,1,2,3
60,Male,70,46,56,1,2,3
61,Male,19,46,55,1,2,3
62,Female,67,47,52,1,2,3
63,Female,54,47,59,1,2,3
64,Male,63,48,51,1,2,3
65,Male,18,48,59,1,2,3
66,Female,43,48,50,1,2,3
67,Female,68,48,48,1,2,3
68,Male,19,48,59,1,2,3
69,Female,32,48,47,1,2,3
70,Male,70,49,55,1,2,3
71,Female,47,49,42,1,2,3
72,Female,60,50,49,0,2,3
73,Female,60,50,56,0,2,3
74,Male,59,54,47,0,4,3
75,Male,26,54,54,0,4,3
76,Female,45,54,53,0,4,3
77,Male,40,54,48,0,4,3
78,Female,23,54,52,0,4,3
79,Female,49,54,42,0,4,3
80,Male,57,54,51,0,4,3
81,Male,38,54,55,0,4,3
82,Male,67,54,41,0,4,3
83,Female,46,54,44,0,4,3
84,Female,21,54,57,0,4,3
85,Male,48,54,46,0,4,3
86,Female,55,57,58,0,4,3
87,Female,22,57,55,0,4,3
88,Female,34,58,60,0,4,3
89,Female,50,58,46,0,4,3
90,Female,68,59,55,0,4,3
91,Male,18,59,41,0,4,3
92,Male,48,60,49,0,4,3
93,Female,40,60,40,0,4,3
94,Female,32,60,42,0,4,3
95,Male,24,60,52,0,4,3
96,Female,47,60,47,0,4,3
97,Female,27,60,50,0,4,3
98,Male,48,61,42,0,4,3
99,Male,20,61,49,0,4,3
100,Female,23,62,41,0,4,3
101,Female,49,62,48,0,4,3
102,Male,67,62,59,0,4,3
103,Male,26,62,55,0,4,3
104,Male,49,62,56,0,4,3
105,Female,21,62,42,0,4,3
106,Female,66,63,50,0,4,3
107,Male,54,63,46,0,4,3
108,Male,68,63,43,0,4,3
109,Male,66,63,48,0,4,3
110,Male,65,63,52,0,4,3
111,Female,19,63,54,0,4,3
112,Female,38,64,42,0,4,3
113,Male,19,64,46,0,4,3
114,Female,18,65,48,0,4,3
115,Female,19,65,50,0,4,3
116,Female,63,65,43,0,4,3
117,Female,49,65,59,0,4,3
118,Female,51,67,43,0,4,3
119,Female,50,67,57,0,4,3
120,Male,27,67,56,0,4,3
121,Female,38,67,40,0,4,3
122,Female,40,69,58,0,4,3
123,Male,39,69,91,0,1,1
124,Female,23,70,29,0,3,2
125,Female,31,70,77,0,1,1
126,Male,43,71,35,0,4,3
127,Male,40,71,95,0,1,1
128,Male,59,71,11,0,3,2
129,Male,38,71,75,0,1,1
130,Male,47,71,9,0,3,2
131,Male,39,71,75,0,1,1
132,Female,25,72,34,0,4,3
133,Female,31,72,71,0,1,1
134,Male,20,73,5,0,3,2
135,Female,29,73,88,0,1,1
136,Female,44,73,7,0,3,2
137,Male,32,73,73,0,1,1
138,Male,19,74,10,0,3,2
139,Female,35,74,72,0,1,1
140,Female,57,75,5,0,3,2
141,Male,32,75,93,0,1,1
142,Female,28,76,40,0,4,3
143,Female,32,76,87,0,1,1
144,Male,25,77,12,0,3,2
145,Male,28,77,97,0,1,1
146,Male,48,77,36,0,4,2
